002505.SZ,20180619,2.26,0.8688,1.9434,3.47,521.4021,,2.2471,1.0015,1.1073,548537.22,548461.98,245200.89,1239694.1172,1239524.0748,002505
002505.SZ,20180615,2.2,0.4428,0.9904,1.99,507.5596,,2.1875,0.9749,1.0779,548537.22,548461.98,245200.89,1206781.884,1206616.356,002505
002505.SZ,20180614,2.31,0.1365,0.3053,0.57,532.9376,,2.2968,1.0237,1.1318,548537.22,548461.98,245200.89,1267120.9782,1266947.1738,002505
002505.SZ,20180613,2.34,0.3642,0.8146,1.95,539.8588,,2.3267,1.037,1.1465,548537.22,548461.98,245200.89,1283577.0948,1283401.0332,002505
002505.SZ,20180612,2.33,0.1208,0.2703,0.64,537.5517,,2.3167,1.0326,1.1416,548537.22,548461.98,245200.89,1278091.7226,1277916.4134,002505
002505.SZ,20180611,2.35,0.1876,0.4195,0.89,542.1659,,2.3366,1.0414,1.1514,548537.22,548461.98,245200.89,1289062.467,1288885.653,002505
002505.SZ,20180608,2.34,0.3051,0.6824,1.7,539.8588,,2.3267,1.037,1.1465,548537.22,548461.98,245200.89,1283577.0948,1283401.0332,002505
002505.SZ,20180607,2.33,0.2095,0.4686,0.84,537.5517,,2.3167,1.0326,1.1416,548537.22,548461.98,245200.89,1278091.7226,1277916.4134,002505
002505.SZ,20180606,2.32,0.1127,0.2521,0.36,535.2446,,2.3068,1.0281,1.1367,548537.22,548461.98,245200.89,1272606.3504,1272431.7936,002505
002505.SZ,20180605,2.34,0.1257,0.2811,0.32,539.8588,,2.3267,1.037,1.1465,548537.22,548461.98,245200.89,1283577.0948,1283401.0332,002505
002505.SZ,20180604,2.35,0.2961,0.6622,0.7,542.1659,,2.3366,1.0414,1.1514,548537.22,548461.98,245200.89,1289062.467,1288885.653,002505
002505.SZ,20180601,2.31,0.1517,0.3392,0.35,532.9376,,2.2968,1.0237,1.1318,548537.22,548461.98,245200.89,1267120.9782,1266947.1738,002505
002505.SZ,20180531,2.36,0.5544,1.2401,1.43,544.473,,2.3465,1.0458,1.1563,548537.22,548461.98,245200.89,1294547.8392,1294370.2728,002505
002505.SZ,20180530,2.3,0.4258,0.9525,1.28,530.6305,,2.2869,1.0193,1.1269,548537.22,548461.98,245200.89,1261635.606,1261462.554,002505
002505.SZ,20180529,2.34,0.5125,1.1463,1.79,539.8588,,2.3267,1.037,1.1465,548537.22,548461.98,245200.89,1283577.0948,1283401.0332,002505
002505.SZ,20180528,2.35,0.4745,1.0613,2.02,542.1659,,2.3366,1.0414,1.1514,548537.22,548461.98,245200.89,1289062.467,1288885.653,002505
002505.SZ,20180525,2.35,0.2288,0.5119,1.04,542.1659,,2.3366,1.0414,1.1514,548537.22,548461.98,245200.89,1289062.467,1288885.653,002505
002505.SZ,20180524,2.36,0.2929,0.6552,1.14,544.473,,2.3465,1.0458,1.1563,548537.22,548461.98,245200.89,1294547.8392,1294370.2728,002505
002505.SZ,20180523,2.33,0.1518,0.3396,0.55,537.5517,,2.3167,1.0326,1.1416,548537.22,548461.98,245200.89,1278091.7226,1277916.4134,002505
002505.SZ,20180522,2.36,0.2858,0.6393,1.05,544.473,,2.3465,1.0458,1.1563,548537.22,548461.98,245200.89,1294547.8392,1294370.2728,002505
002505.SZ,20180521,2.36,0.2134,0.4774,0.68,544.473,,2.3465,1.0458,1.1563,548537.22,548461.98,245200.89,1294547.8392,1294370.2728,002505
